0	0	1879.432983	2.455705	-4.249041	-0.009179	-4.012898
0	1	1912.952881	1.236839	-4.864248	-0.322842	-3.434161
0	2	3053.462646	2.941244	-9.793213	-0.636994	-3.985270
0	3	6173.099609	-38.407661	-15.951830	-2.720812	-6.426037
0	4	11469.185547	-22.772406	-16.788002	-3.729168	-6.363342
0	5	15318.131836	-30.333298	-18.113743	-2.472061	-7.426991
0	6	20075.324219	-27.845560	-16.006672	-1.054489	-5.626525
0	7	26725.191406	-24.974873	-12.571707	-3.162002	-4.697742
0	8	31204.712891	-27.601849	-11.303526	2.659164	-3.666681
0	9	37419.757812	-22.268152	-9.013515	6.617529	-2.994726
0	10	41105.765625	-25.161177	-3.698080	13.751185	-1.748441
0	11	45800.828125	-35.973923	-0.495021	21.201593	-2.930957
0	12	49620.796875	-26.284948	1.850186	19.774590	-1.967035
0	13	52012.046875	-36.490959	3.673376	17.489231	-2.437091
0	14	53974.308594	-51.070984	5.378664	10.727850	-2.058808
0	15	55053.171875	-66.633690	15.270810	-14.479977	-0.852320
0	16	57016.460938	-20.510525	17.761194	-9.742308	-0.531238
0	17	58720.738281	-19.293394	-3.298998	-36.802914	-7.832657
0	18	59225.191406	-9.289427	-11.000153	0.559277	-6.206402
0	19	59943.218750	-38.813740	-11.502394	37.821632	-1.642637
0	20	58458.613281	-34.689445	-11.166203	45.813145	-5.950942
0	21	58882.281250	-18.000122	-8.809172	105.702316	1.009266
0	22	61124.246094	-4.333385	-16.941853	88.959763	-8.723788
0	23	55151.394531	-29.768333	-53.493347	63.012581	-25.540550
0	24	46552.347656	-51.135895	-92.792877	10.330727	-34.741997
0	25	33648.105469	-85.354851	-109.510262	24.162596	-62.127174
1	0	218.706848	-0.946843	-5.769665	-0.161675	2.242240
1	1	273.128174	-3.731929	-5.918548	0.968948	-1.215028
1	2	397.117676	-3.909970	-6.260206	0.492914	-0.087154
1	3	887.066467	-42.647781	-8.665434	-0.002152	-0.747707
1	4	1259.283325	-15.050753	-11.583579	-0.126975	-4.271885
